seed,vol_signal,slice_signal,ratio
random,0.128995,0.002750,46.9097
random_s1,0.142436,0.004706,30.2688
random_s2,0.133381,0.003148,42.3753
random_s3,0.103630,0.002587,40.0610
random_s4,0.133375,0.003239,41.1724
