dataset,arch,operator,file,conf,method,vol_auc,slice_auc
brats,reference,context-nn,vol0019,0.7876,random,0.159947,0.728311
brats,reference,context-nn,vol0020,0.7049,gradcam,0.028493,0.676388
brats,reference,context-nn,vol0020,0.7049,ig,0.102863,0.662649
brats,reference,context-nn,vol0020,0.7049,occlusion,0.094648,0.645700
brats,reference,context-nn,vol0020,0.7049,random,0.191704,0.616988
brats,reference,context-nn,vol0021,0.6152,gradcam,0.042399,0.553140
brats,reference,context-nn,vol0021,0.6152,ig,0.018897,0.558041
brats,reference,context-nn,vol0021,0.6152,occlusion,0.127549,0.517201
brats,reference,context-nn,vol0021,0.6152,random,0.216628,0.523788
brats,reference,context-nn,vol0022,0.5840,gradcam,0.208957,0.528014
brats,reference,context-nn,vol0022,0.5840,ig,0.224467,0.508551
brats,reference,context-nn,vol0022,0.5840,occlusion,0.054078,0.476690
brats,reference,context-nn,vol0022,0.5840,random,0.189344,0.507093
brats,reference,context-nn,vol0023,0.8935,gradcam,0.115642,0.854875
brats,reference,context-nn,vol0023,0.8935,ig,0.034602,0.847806
brats,reference,context-nn,vol0023,0.8935,occlusion,0.267173,0.844461
brats,reference,context-nn,vol0023,0.8935,random,0.268065,0.859136
brats,reference,context-nn,vol0024,0.7658,gradcam,0.054202,0.731910
brats,reference,context-nn,vol0024,0.7658,ig,0.088335,0.730717
brats,reference,context-nn,vol0024,0.7658,occlusion,0.111797,0.691483
brats,reference,context-nn,vol0024,0.7658,random,0.268464,0.710384
brats,reference,context-nn,vol0025,0.9496,gradcam,0.118655,0.914915
brats,reference,context-nn,vol0025,0.9496,ig,0.130380,0.918381
brats,reference,context-nn,vol0025,0.9496,occlusion,0.081339,0.911523
brats,reference,context-nn,vol0025,0.9496,random,0.240450,0.926445
brats,reference,context-nn,vol0026,0.9838,gradcam,0.140459,0.970059
brats,reference,context-nn,vol0026,0.9838,ig,0.247412,0.970015
brats,reference,context-nn,vol0026,0.9838,occlusion,0.066648,0.969839
brats,reference,context-nn,vol0026,0.9838,random,0.319290,0.974145
brats,reference,context-nn,vol0027,0.9594,gradcam,0.150896,0.938627
brats,reference,context-nn,vol0027,0.9594,ig,0.043659,0.933213
brats,reference,context-nn,vol0027,0.9594,occlusion,0.148317,0.934227
brats,reference,context-nn,vol0027,0.9594,random,0.160751,0.934791
brats,reference,context-nn,vol0028,0.9379,gradcam,0.031985,0.903223
brats,reference,context-nn,vol0028,0.9379,ig,0.119443,0.899691
brats,reference,context-nn,vol0028,0.9379,occlusion,0.105698,0.902614
brats,reference,context-nn,vol0028,0.9379,random,0.469073,0.906663
