method,vol_auc,slice_auc,vol_std,slice_std
gradcam,0.5688,0.9464,0.3938,0.0882
tcav_edema,0.6167,0.9465,0.4457,0.0873
tcav_enhancing,0.6229,0.9460,0.4393,0.0873
tcav_non_enhancing,0.6185,0.9454,0.4370,0.0889
random,0.6880,0.9522,0.3473,0.0804
